PR	PM	T
64	61	0
64	61	0
64	62	0
64	62	0
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	62	12
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	0
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	63	8
64	64	8
64	64	4
64	64	4
64	0	0
64	0	0
64	0	0
64	0	255
-16	0	255
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	0	192
-16	-1	192
-16	-1	180
-17	-1	180
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	192
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-2	224
-17	-2	224
-18	-2	224
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-2	212
-18	-1	212
-18	-1	212
-17	-1	200
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	-1	212
-17	0	212
-16	0	200
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	212
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	0	196
-16	1	196
-16	1	208
-16	1	208
-15	1	208
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
-15	1	196
